"P" "B"
"185" 7.85242914458891 9.17106113348982
"186" 7.81713573301402 9.12970667546477
"187" 7.77873068701493 9.08399347139932
"188" 7.73722403436127 9.03385336181639
"189" 7.69245655082234 8.97914465868677
"190" 7.64468371508744 8.91991704492451
"191" 7.59376517447769 8.85607172070877
"192" 7.53965779480318 8.78759289104139
"193" 7.48210542401277 8.71431486218709
"194" 7.42207672804016 8.63670039677539
"195" 7.35856063844124 8.55445565992227
"196" 7.29098257896598 8.46750266583239
"197" 7.22334125351497 8.37721527869829
"198" 7.15194889177974 8.28291934358591
"199" 7.07826694137225 8.18526255286625
"200" 7.00261602096639 8.08478650577954
"201" 6.92526898302186 7.98235244483258
"202" 6.84722990408932 7.87876152309729
"203" 6.76890414006907 7.77498354820167
"204" 6.69098060076581 7.67217131347217
"205" 6.6143746276168 7.57172407770253
"206" 6.54006407484739 7.47516145506635
"207" 6.46907712335711 7.38406799912576
"208" 6.40269850865054 7.30030641432218
"209" 6.342215768441 7.22575297459375
"210" 6.28885788521846 7.1621415163401
"211" 6.24345184335486 7.11115195756206
"212" 6.20741353257006 7.07452225760606
"213" 6.18087750039805 7.05341883636742
"214" 6.1677924754042 7.04969421790449
"215" 6.16533306047448 7.06307470629812
"216" 6.17506805706152 7.09408447573502
"217" 6.19681350395051 7.1423122667049
"218" 6.23025352579177 7.20698088276557
"219" 6.27484202443296 7.28669946220984
"220" 6.32929595096038 7.3798420078569
"221" 6.39274923963889 7.48424945982593
"222" 6.46281252514071 7.59741706544205
"223" 6.54068192855298 7.71796136259405
"224" 6.62234674160606 7.84241040786749
"225" 6.70721736106193 7.96919128457739
"226" 6.79357776984462 8.09591077662875
"227" 6.88028613886588 8.22091025882672
"228" 6.96651173899824 8.34272704785677
"229" 7.05085668679468 8.45993325462204
"230" 7.13250791982759 8.57158026901599
"231" 7.21098993548313 8.6770426325048
"232" 7.2856156358072 8.77574841846348
"233" 7.35633354727884 8.86754847536072
"234" 7.42180660288342 8.95198269302647
"235" 7.48312856734226 9.02946287994474
"236" 7.5396444487497 9.09989924817935
"237" 7.59134493744936 9.16350170015165
"238" 7.63789680250297 9.22040480557399
"239" 7.68009156748418 9.27100067477907
"240" 7.71723888567585 9.31542545425461
"241" 7.75006611438074 9.35427014830397
"242" 7.77108021423757 9.38646607959974
"243" 7.80215583717378 9.41517564005627
"244" 7.82178348961966 9.43790628730935
"245" 7.83740668500993 9.45579660821282
"246" 7.84895739033144 9.46900120483637
"247" 7.8567777017734 9.47772689222246
"248" 7.86056461905873 9.48204750250934
"249" 7.86095673209213 9.48209415794915
"250" 7.85763371038564 9.47794822728685
"251" 7.85099643777571 9.46964830479848
"252" 7.84061743050438 9.45719557194538
"253" 7.82726021483038 9.4407438551171
"254" 7.81041668255663 9.42012953474174
"255" 7.7903294083877 9.39540149522525
"256" 7.76674915173919 9.36650756110313
"257" 7.74011443520653 9.33334244189891
"258" 7.71002991385972 9.29587860429256
"259" 7.67683271158109 9.25402161787187
"260" 7.64045842871427 9.20776656844092
"261" 7.59966482513128 9.15677914733412
"262" 7.55784151836613 9.10132003484746
"263" 7.51181623539131 9.04114721173292
"264" 7.46223398825562 8.97606989925251
"265" 7.40962367740771 8.90624365345887
"266" 7.35312174994948 8.83138495117241
"267" 7.29497695572518 8.75204735884341
"268" 7.23338800690746 8.66811299179527
"269" 7.16818966904073 8.57936290073076
"270" 7.10085231804318 8.48655390946423
"271" 7.03094503005337 8.3898315334441
"272" 6.95856431516258 8.2895824848887
"273" 6.88458038033781 8.18651972316734
"274" 6.80914231086982 8.08117180999929
"275" 6.73266667158146 7.97464742963536
"276" 6.65613565859598 7.86795956905771
"277" 6.58023709474615 7.76236516638297
"278" 6.50548475045029 7.65914196984868
"279" 6.43298165810793 7.55990031088223
"280" 6.36367105195801 7.46638166567542
