"P" "B"
"329" 7.70135779916457 7.73256440983651
"330" 7.67561208378193 7.70655858192807
"331" 7.64655148567638 7.677203625656
"332" 7.61362175902466 7.64434903901672
"333" 7.57855366713832 7.60849617884619
"334" 7.53931222089621 7.56905573241818
"335" 7.497431269984 7.52650536671721
"336" 7.4496712385702 7.47999860086103
"337" 7.403259084736 7.43130533978315
"338" 7.35124628551454 7.37880347289356
"339" 7.29611329015019 7.32311323295438
"340" 7.23774276675083 7.26423199759736
"341" 7.17647961122354 7.20236686764134
"342" 7.11249112690338 7.13764623341446
"343" 7.04565352057946 7.07020599710773
"344" 6.97682115383299 7.00041734235655
"345" 6.90466171395185 6.92810190863177
"346" 6.83175852585901 6.85425152282692
"347" 6.75729568821321 6.77900302896623
"348" 6.68167740605263 6.70279249859261
"349" 6.60563722706355 6.62629217776624
"350" 6.53038635939788 6.55039574435229
"351" 6.45647610844537 6.47589398255415
"352" 6.38479796456524 6.40368826876002
"353" 6.31629957135693 6.3347861556769
"354" 6.25169505989641 6.27011918992401
"355" 6.1938252437781 6.21149602967531
"356" 6.14193467865114 6.15934417024449
"357" 6.09836954553447 6.11534755566143
"358" 6.06330113204114 6.08017500236515
"359" 6.03815750436928 6.05499763184283
"360" 6.02224710061182 6.04003938651642
"361" 6.02030020883125 6.03742395389742
"362" 6.02855423406616 6.04595612391894
"363" 6.04837629347026 6.06615484145276
"364" 6.07452881365552 6.09665388219304
"365" 6.12139113711901 6.1401838025318
